Mercado,Fecha,NC Long,NC Short,NC Spread,NC Change,Com Long,Com Short,Retail Long,Retail Short,OI,Cierre
EURUSD,2003-01-07,35647,7490,41,    -306,14990,71660,47597,19084,98275,
EURUSD,2003-01-14,36455,7682,10,     808,24937,83917,48673,18466,110075,
EURUSD,2003-01-21,35332,6890,632,   -1123,24410,83678,52810,21984,113184,
EURUSD,2003-01-28,32375,6039,1034,   -2957,23265,78061,48903,20443,105577,
EURUSD,2003-02-04,37222,6556,594,    4847,21625,82247,49090,19134,108531,
EURUSD,2003-02-11,29992,7694,618,   -7230,23476,77469,53367,21672,107453,
EURUSD,2003-02-18,31970,6485,259,    1978,24629,78293,51244,23065,108102,
EURUSD,2003-02-25,29793,9730,969,   -2177,26356,74269,48309,20459,105427,
EURUSD,2003-03-04,34972,4997,646,    5179,35724,94443,51672,22928,123014,
EURUSD,2003-03-11,35344,5078,426,     372,48407,105656,52069,25086,136246,
EURUSD,2003-03-18,18948,5609,291,  -16396,22407,55066,37119,17799,78765,
EURUSD,2003-03-25,16336,8742,41,   -2612,24956,47292,31101,16359,72434,
EURUSD,2003-04-01,16707,6143,153,     371,22378,50451,36713,19204,75951,
EURUSD,2003-04-08,15619,2474,100,   -1088,19364,48155,36329,20683,71412,
EURUSD,2003-04-15,16934,2729,100,    1315,24520,54713,36085,20097,77639,
EURUSD,2003-04-22,27788,3401,204,   10854,25211,68091,42779,24286,95982,
EURUSD,2003-04-29,31023,3018,166,    3235,23951,74592,48729,26093,103869,
EURUSD,2003-05-06,34554,2584,137,    3531,29230,81472,51161,30889,115082,
EURUSD,2003-05-13,28679,3776,277,   -5875,22984,66704,48990,30173,100930,
EURUSD,2003-05-20,30918,4020,1259,    2239,24360,74601,52179,28836,108716,
EURUSD,2003-05-27,31242,7129,801,     324,26381,69677,51605,32422,110029,
EURUSD,2003-06-03,35738,5705,335,    4496,28438,82589,50929,26811,115440,
EURUSD,2003-06-10,32439,6177,852,   -3299,48533,97488,54559,31866,136383,
EURUSD,2003-06-17,33888,5765,574,    1449,19724,73401,49066,23512,103252,
EURUSD,2003-06-24,27814,4344,275,   -6074,22540,69143,44227,21094,94856,
EURUSD,2003-07-01,28532,4902,185,     718,25643,71594,47357,25036,101717,
EURUSD,2003-07-08,25188,6027,309,   -3344,26694,66038,42425,22242,94616,
EURUSD,2003-07-15,22847,6652,607,   -2341,33860,65327,41861,26589,99175,
EURUSD,2003-07-22,18266,5113,715,   -4581,38271,67483,39207,23148,96459,
EURUSD,2003-07-29,17608,5188,1266,    -658,34149,68502,43249,21316,96272,
EURUSD,2003-08-05,16777,2888,1298,    -831,35466,69227,39758,19886,93299,
EURUSD,2003-08-12,18505,3803,1211,    1728,36733,72336,41074,20173,97523,
EURUSD,2003-08-19,16930,7809,713,   -1575,37631,60069,40512,27195,95786,
EURUSD,2003-08-26,14690,12017,849,   -2240,40446,59159,44129,28089,100114,
EURUSD,2003-09-02,14372,12243,1221,    -318,47245,63189,44335,30520,107173,
EURUSD,2003-09-09,13438,10933,1437,    -934,53083,69694,46982,32876,114940,
EURUSD,2003-09-16,11847,7123,492,   -1591,28498,50958,39754,22018,80591,
EURUSD,2003-09-23,15340,6563,622,    3493,21389,53635,45198,21729,82549,
EURUSD,2003-09-30,18650,5001,340,    3310,18884,58731,53990,27792,91864,
EURUSD,2003-10-07,25794,5769,50,    7144,19886,65167,51093,25837,96823,
EURUSD,2003-10-14,29854,4860,50,    4060,21711,75716,54300,25289,105915,
EURUSD,2003-10-21,28987,4874,15,    -867,26125,76465,51388,25161,106515,
EURUSD,2003-10-28,28893,4688,87,     -94,22558,75056,51304,23011,102842,
EURUSD,2003-11-04,21858,2285,127,   -7035,30611,71620,46347,24911,98943,
EURUSD,2003-11-11,21264,3345,495,    -594,33138,73291,47929,25695,102826,
EURUSD,2003-11-18,37534,2988,1082,   16270,31787,87711,55193,33815,125596,
EURUSD,2003-11-25,33819,3322,569,   -3715,34228,90331,54264,28658,122880,
EURUSD,2003-12-02,35337,4657,118,    1518,41775,96997,58321,33779,135551,1.208897
EURUSD,2003-12-09,33513,5515,204,   -1824,63614,109882,55301,37031,152632,1.224995
EURUSD,2003-12-16,39854,5071,613,    6341,28939,85043,49756,28435,119162,1.232195
EURUSD,2003-12-22,38595,4887,16,   -1259,31053,85352,48826,28235,118490,1.239895
EURUSD,2003-12-30,38530,4974,16,     -65,33190,85465,47359,28640,119095,1.254894
EURUSD,2004-01-06,36578,6668,101,   -1952,37420,86242,52343,33431,126442,1.272103
EURUSD,2004-01-13,35894,8957,245,    -684,40431,90936,53940,30372,130510,1.278593
EURUSD,2004-01-20,35293,7050,682,    -601,44234,88583,49339,33233,129548,1.258907
EURUSD,2004-01-27,36682,3384,1084,    1389,42527,92411,48877,32291,129170,1.263695
EURUSD,2004-02-03,31305,10859,448,   -5377,47942,84663,44617,28342,124312,1.253494
EURUSD,2004-02-10,33820,7578,284,    2515,45495,90863,48808,29682,128407,1.268504
EURUSD,2004-02-17,35758,7349,336,    1938,54490,102550,54731,35080,145315,1.285793
EURUSD,2004-02-24,31780,5413,589,   -3978,54642,94386,46493,33116,133504,1.267797
EURUSD,2004-03-02,24451,7423,776,   -7329,62136,94594,48299,32869,135662,1.220405
EURUSD,2004-03-09,24065,10000,619,    -386,71601,97855,46076,33887,142361,1.231906
EURUSD,2004-03-16,17522,9068,86,   -6543,28626,48552,41156,29684,87390,1.226106
EURUSD,2004-03-23,18389,8096,144,     867,36503,58796,40580,28580,95616,1.234507
EURUSD,2004-03-30,17155,10981,135,   -1234,43769,57032,39831,32742,100890,1.218502
EURUSD,2004-04-06,18589,12572,102,    1434,46112,57921,42611,36819,107414,1.213106
EURUSD,2004-04-12,18074,12331,102,    -515,49513,62828,41388,33816,109077,1.207307
EURUSD,2004-04-20,22037,12238,115,    3963,51488,65820,41178,36645,114818,1.184806
EURUSD,2004-04-27,19136,13566,430,   -2901,58644,68137,41500,37577,119710,1.192905
